0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:22 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 838
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:22 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 804
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:22 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 789
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:22 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 700
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:22 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 33279
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:23 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 52324
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:23 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 25017
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:23 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5902 89847
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:23 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 46203
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:23 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 76074
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:01:06 +0700] "GET /api/v1/showtime?page=0&size=10 HTTP/1.1" 200 996 27082
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1156
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1566
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 702
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 909
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 651
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 814
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 913
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 868
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1272
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 19287
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 15242
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 38525
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 18769
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 61526
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 30544
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 17248
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 21044
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 34241
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 17955
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 62405
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:09 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 112489
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1793
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1437
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1783
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1286
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1371
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1345
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1255
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/showtime HTTP/1.1" 200 995 21183
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 37501
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/showtime HTTP/1.1" 200 995 21277
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 62517
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 17238
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 30223
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 16954
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 16368
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 32647
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 16904
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 52821
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:06:10 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 48960
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:16:56 +0700] "OPTIONS /api/v1/showtime/1/status HTTP/1.1" 200 - 3703
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:16:56 +0700] "PATCH /api/v1/showtime/1/status HTTP/1.1" 500 136 41138
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:16:56 +0700] "PATCH /api/v1/showtime/1/status HTTP/1.1" 500 136 21263
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:16:57 +0700] "PATCH /api/v1/showtime/1/status HTTP/1.1" 500 135 16949
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 3166
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 2305
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1153
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1464
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1619
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1357
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1175
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 2086
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 62493
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 82026
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 23240
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "GET /api/v1/showtime HTTP/1.1" 200 995 27401
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 121296
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 52196
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 28689
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:40:13 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 80534
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1232
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1269
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1306
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1306
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1614
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1438
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 2099
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 2687
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "GET /api/v1/showtime HTTP/1.1" 200 995 23528
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 39519
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 20207
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 66589
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 22585
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 39690
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "GET /api/v1/showtime HTTP/1.1" 200 995 23381
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:41:53 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 68528
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 2250
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1134
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 2377
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1389
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1658
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 2364
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1395
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1027
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 31526
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 56485
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 25926
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 18974
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 85814
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 43687
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 29989
0:0:0:0:0:0:0:1 - - [17/Nov/2025:16:42:19 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 72547
