0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:34 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 18096
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:34 +0700] "GET /api/v1/cinemas/cluster/1 HTTP/1.1" 200 3412 64403
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:34 +0700] "GET /api/v1/cinemas/cluster/1 HTTP/1.1" 200 3412 61190
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1183
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "OPTIONS /api/v1/movies HTTP/1.1" 200 - 1063
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1992
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1631
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "OPTIONS /api/v1/movies HTTP/1.1" 200 - 1254
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1331
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 27322
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "GET /api/v1/showtime HTTP/1.1" 200 469 24857
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "GET /api/v1/movies HTTP/1.1" 200 5366 54851
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "GET /api/v1/movies HTTP/1.1" 200 5366 38203
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 95587
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:36 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 74202
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:42 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 1648
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:42 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 2103
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:42 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 25729
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:42 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 34350
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:52 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 1306
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:52 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 1339
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:53 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 21404
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:53 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 27044
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:38 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 1153
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:38 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 1195
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:38 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 28930
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:38 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 21828
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:44 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 1575
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:44 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 2797
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:44 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 22689
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:45 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 22148
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:49 +0700] "OPTIONS /api/v1/users/undefined/deactivate HTTP/1.1" 200 - 1723
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:09:49 +0700] "PUT /api/v1/users/undefined/deactivate HTTP/1.1" 500 294 47108
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1648
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1455
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "OPTIONS /api/v1/movies HTTP/1.1" 200 - 956
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1070
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "OPTIONS /api/v1/movies HTTP/1.1" 200 - 1768
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1106
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 29243
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 43406
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "GET /api/v1/movies HTTP/1.1" 200 5366 85318
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5902 119967
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "GET /api/v1/movies HTTP/1.1" 200 5366 50109
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:54 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 69254
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:57 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 2747
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:57 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 3376
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:57 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 22710
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:11:57 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 20665
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:14:00 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1170
